day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;PEARLS;9998;3;9996;1;9995;21;10004;1;10005;21;;;10001.0;0.0
2;0;BANANAS;4822;3;4821;22;;;4827;22;;;;;4824.5;0.0
2;0;COCONUTS;7923;214;;;;;7925;64;7926;150;;;7924.0;0.0
2;0;PINA_COLADAS;14850;88;;;;;14853;88;;;;;14851.5;0.0
2;100;PEARLS;9995;26;;;;;9998;1;10005;26;;;9996.5;0.0
2;100;BANANAS;4821;26;;;;;4827;26;;;;;4824.0;0.0
2;100;COCONUTS;7924;150;;;;;7927;150;;;;;7925.5;-450.0
2;100;PINA_COLADAS;14853;98;;;;;14856;98;;;;;14854.5;128.25
2;200;PINA_COLADAS;14853;74;;;;;14856;74;;;;;14854.5;22.75
2;200;PEARLS;9996;2;9995;30;;;9998;1;10004;2;10005;30;9997.0;2.0
2;200;BANANAS;4827;1;4822;2;4821;30;4828;32;;;;;4827.5;0.0
2;200;COCONUTS;7924;191;;;;;7926;55;7927;136;;;7925.0;-542.5
2;300;PEARLS;9996;1;9995;27;;;9998;1;10004;1;10005;27;9997.0;4.0
2;300;BANANAS;4822;27;;;;;4828;1;4829;27;;;4825.0;0.0
2;300;COCONUTS;7925;168;;;;;7928;168;;;;;7926.5;-1329.75
2;300;PINA_COLADAS;14858;90;;;;;14861;90;;;;;14859.5;1044.0
2;400;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;6.0
2;400;BANANAS;4821;25;;;;;4823;5;4828;25;;;4822.0;0.0
2;400;COCONUTS;7924;181;;;;;7927;181;;;;;7925.5;-807.75
2;400;PINA_COLADAS;14855;94;;;;;14858;30;14859;64;;;14856.5;468.0
2;500;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;6.0
2;500;BANANAS;4821;22;;;;;4828;22;;;;;4824.5;0.0
2;500;COCONUTS;7924;196;;;;;7925;57;7927;196;;;7924.5;-801.25
2;500;PINA_COLADAS;14854;107;;;;;14857;107;;;;;14855.5;142.25
2;600;PINA_COLADAS;14852;39;14851;51;;;14854;39;14855;51;;;14853.0;-447.0
2;600;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;6.0
2;600;BANANAS;4821;25;;;;;4828;25;;;;;4824.5;0.0
2;600;COCONUTS;7924;57;7923;142;;;7926;199;;;;;7925.0;-571.25
2;700;BANANAS;4821;23;;;;;4828;23;;;;;4824.5;0.0
2;700;PEARLS;9995;23;;;;;9998;9;10005;23;;;9996.5;6.0
2;700;COCONUTS;7924;161;;;;;7926;45;7927;116;;;7925.0;-645.0
2;700;PINA_COLADAS;14851;106;;;;;14854;106;;;;;14852.5;-531.0
2;800;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;24.0
2;800;COCONUTS;7924;191;;;;;7925;50;7926;70;7927;121;7924.5;-655.25
2;800;BANANAS;4825;3;4821;28;;;4828;28;;;;;4826.5;0.0
2;800;PINA_COLADAS;14848;31;14847;53;;;14851;84;;;;;14849.5;-1388.25
2;900;BANANAS;4824;1;4821;21;;;4828;21;;;;;4826.0;0.0
2;900;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;24.0
2;900;COCONUTS;7924;175;;;;;7927;175;;;;;7925.5;-829.5
2;900;PINA_COLADAS;14850;85;;;;;14853;85;;;;;14851.5;-781.5
2;1000;PINA_COLADAS;14852;38;14851;51;;;14853;38;14854;38;14855;51;14852.5;-445.25
2;1000;PEARLS;10002;2;9996;2;9995;28;10004;2;10005;28;;;10003.0;24.0
2;1000;COCONUTS;7925;201;;;;;7927;63;7928;138;;;7926.0;-1130.0
2;1000;BANANAS;4823;2;4822;28;;;4829;30;;;;;4826.0;0.0
2;1100;BANANAS;4823;2;4822;28;;;4829;30;;;;;4826.0;0.0
2;1100;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;28.0
2;1100;COCONUTS;7925;162;;;;;7927;50;7928;112;;;7926.0;-1085.0
2;1100;PINA_COLADAS;14852;111;;;;;14855;111;;;;;14853.5;-385.5
2;1200;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;28.0
2;1200;COCONUTS;7924;186;;;;;7927;186;;;;;7925.5;-778.0
2;1200;BANANAS;4822;28;;;;;4828;1;4829;28;;;4825.0;0.0
2;1200;PINA_COLADAS;14850;92;;;;;14853;92;;;;;14851.5;-890.5
2;1300;BANANAS;4822;23;;;;;4827;7;4829;23;;;4824.5;0.0
2;1300;PEARLS;9995;23;;;;;9998;1;10002;7;10005;23;9996.5;28.0
2;1300;COCONUTS;7924;67;7923;119;;;7926;186;;;;;7925.0;-568.0
2;1300;PINA_COLADAS;14848;109;;;;;14851;109;;;;;14849.5;-1309.5
2;1400;PINA_COLADAS;14848;91;;;;;14851;91;;;;;14849.5;-1298.0
2;1400;PEARLS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;30.0
2;1400;COCONUTS;7922;182;;;;;7925;182;;;;;7923.5;23.5
2;1400;BANANAS;4822;26;;;;;4827;4;4828;2;4829;24;4824.5;0.0
2;1500;BANANAS;4822;30;;;;;4827;7;4828;2;4829;29;4824.5;0.0
2;1500;PEARLS;9996;2;9995;29;;;10002;7;10004;2;10005;29;9999.0;30.0
2;1500;COCONUTS;7923;184;;;;;7926;184;;;;;7924.5;-449.5
2;1500;PINA_COLADAS;14850;98;;;;;14853;98;;;;;14851.5;-800.0
2;1600;PEARLS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;30.0
2;1600;COCONUTS;7922;171;;;;;7925;171;;;;;7923.5;135.25
2;1600;BANANAS;4822;1;4821;23;;;4828;24;;;;;4825.0;0.0
2;1600;PINA_COLADAS;14849;37;14848;82;;;14851;82;;;;;14850.0;-1296.25
2;1700;BANANAS;4821;24;;;;;4828;24;;;;;4824.5;0.0
2;1700;PEARLS;9995;24;;;;;10005;24;;;;;10000.0;30.0
2;1700;COCONUTS;7923;46;7922;163;;;7925;163;;;;;7924.0;27.25
2;1700;PINA_COLADAS;14847;110;;;;;14850;110;;;;;14848.5;-1553.0
2;1800;PINA_COLADAS;14847;95;;;;;14850;95;;;;;14848.5;-1529.0
2;1800;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;30.0
2;1800;COCONUTS;7922;163;;;;;7924;62;7925;101;;;7923.0;199.25
2;1800;BANANAS;4822;2;4821;28;;;4828;30;;;;;4825.0;0.0
2;1900;BANANAS;4822;10;4821;24;;;4828;26;;;;;4825.0;0.0
2;1900;PEARLS;9998;8;9996;2;9995;24;10004;2;10005;24;;;10001.0;30.0
2;1900;COCONUTS;7924;41;7923;218;;;7925;218;;;;;7924.5;-165.25
2;1900;PINA_COLADAS;14848;99;;;;;14851;37;14852;62;;;14849.5;-1224.5
2;2000;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;30.0
2;2000;COCONUTS;7922;177;;;;;7924;42;7925;135;;;7923.0;282.75
2;2000;BANANAS;4821;22;;;;;4828;22;;;;;4824.5;0.0
2;2000;PINA_COLADAS;14847;29;14846;90;;;14849;90;;;;;14848.0;-1842.5
2;2100;BANANAS;4824;6;4821;25;;;4828;25;;;;;4826.0;0.0
2;2100;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;30.0
2;2100;COCONUTS;7922;51;7921;102;;;7924;153;;;;;7923.0;302.0
2;2100;PINA_COLADAS;14845;89;;;;;14848;89;;;;;14846.5;-1980.25
2;2200;PINA_COLADAS;14843;30;14842;53;;;14845;30;14846;53;;;14844.0;-2660.75
2;2200;COCONUTS;7921;153;;;;;7924;153;;;;;7922.5;544.5
2;2200;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;30.0
2;2200;BANANAS;4822;31;;;;;4828;31;;;;;4825.0;0.0
2;2300;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;30.0
2;2300;BANANAS;4822;1;4821;20;;;4823;2;4828;21;;;4822.5;0.0
2;2300;COCONUTS;7922;164;;;;;7924;43;7925;121;;;7923.0;278.0
2;2300;PINA_COLADAS;14843;100;;;;;14846;100;;;;;14844.5;-2446.75
2;2400;COCONUTS;7922;178;;;;;7925;178;;;;;7923.5;-2.5
2;2400;PEARLS;10002;1;9996;1;9995;25;10004;1;10005;25;;;10003.0;30.0
2;2400;BANANAS;4827;1;4822;1;4821;25;4828;26;;;;;4827.5;0.0
2;2400;PINA_COLADAS;14844;96;;;;;14847;38;14848;58;;;14845.5;-2197.0
2;2500;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;32.0
2;2500;BANANAS;4821;27;;;;;4828;27;;;;;4824.5;0.0
2;2500;COCONUTS;7922;199;;;;;7925;199;;;;;7923.5;103.75
2;2500;PINA_COLADAS;14844;87;;;;;14847;87;;;;;14845.5;-2236.25
2;2600;PINA_COLADAS;14847;97;;;;;14850;31;14851;66;;;14848.5;-1473.25
2;2600;COCONUTS;7922;171;;;;;7925;171;;;;;7923.5;179.5
2;2600;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;32.0
2;2600;BANANAS;4821;21;;;;;4828;21;;;;;4824.5;0.0
2;2700;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;32.0
2;2700;BANANAS;4826;1;4821;31;;;4828;31;;;;;4827.0;0.0
2;2700;COCONUTS;7921;179;;;;;7924;179;;;;;7922.5;407.75
2;2700;PINA_COLADAS;14847;31;14846;75;;;14850;106;;;;;14848.5;-1634.75
2;2800;COCONUTS;7920;215;;;;;7923;215;;;;;7921.5;849.0
2;2800;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;32.0
2;2800;BANANAS;4821;22;;;;;4828;22;;;;;4824.5;0.0
2;2800;PINA_COLADAS;14843;94;;;;;14846;94;;;;;14844.5;-2566.0
2;2900;BANANAS;4822;1;4821;21;;;4826;6;4828;22;;;4824.0;0.0
2;2900;PEARLS;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;32.0
2;2900;COCONUTS;7920;190;;;;;7922;61;7923;129;;;7921.0;1099.5
2;2900;PINA_COLADAS;14840;103;;;;;14843;103;;;;;14841.5;-3291.25
2;3000;PINA_COLADAS;14840;35;14839;69;;;14842;35;14843;69;;;14841.0;-3380.75
2;3000;COCONUTS;7920;215;;;;;7923;215;;;;;7921.5;1000.25
2;3000;BANANAS;4821;28;;;;;4828;28;;;;;4824.5;0.0
2;3000;PEARLS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;32.0
2;3100;BANANAS;4821;25;;;;;4828;25;;;;;4824.5;0.0
2;3100;PEARLS;9995;25;;;;;10005;25;;;;;10000.0;32.0
2;3100;COCONUTS;7919;187;;;;;7922;187;;;;;7920.5;1392.75
2;3100;PINA_COLADAS;14840;95;;;;;14843;95;;;;;14841.5;-3237.25
2;3200;COCONUTS;7919;206;;;;;7922;206;;;;;7920.5;1311.25
2;3200;BANANAS;4822;29;;;;;4828;29;;;;;4825.0;0.0
2;3200;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;32.0
2;3200;PINA_COLADAS;14840;22;14839;107;;;14842;107;;;;;14841.0;-3544.0
2;3300;BANANAS;4822;3;4821;28;;;4827;2;4828;26;;;4824.5;0.0
2;3300;PEARLS;9998;3;9996;2;9995;26;10004;2;10005;26;;;10001.0;32.0
2;3300;COCONUTS;7919;217;;;;;7922;217;;;;;7920.5;1545.0
2;3300;PINA_COLADAS;14836;98;;;;;14839;98;;;;;14837.5;-4195.5
2;3400;PINA_COLADAS;14837;96;;;;;14840;96;;;;;14838.5;-3912.75
2;3400;BANANAS;4821;26;;;;;4828;26;;;;;4824.5;0.0
2;3400;PEARLS;10000;2;9996;1;9995;25;10004;1;10005;25;;;10002.0;32.0
2;3400;COCONUTS;7919;200;;;;;7922;200;;;;;7920.5;1437.0
2;3500;BANANAS;4825;4;4821;23;;;4827;23;;;;;4826.0;0.0
2;3500;PEARLS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;32.0
2;3500;COCONUTS;7920;143;;;;;7923;143;;;;;7921.5;932.75
2;3500;PINA_COLADAS;14840;32;14839;67;;;14842;32;14843;67;;;14841.0;-3349.0
2;3600;BANANAS;4820;30;;;;;4825;5;4827;30;;;4822.5;0.0
2;3600;PEARLS;10000;3;9995;30;;;10002;5;10005;30;;;10001.0;32.0
2;3600;COCONUTS;7920;120;7919;150;;;7922;227;;;;;7921.0;1128.5
2;3600;PINA_COLADAS;14838;92;;;;;14841;92;;;;;14839.5;-3733.0
2;3700;BANANAS;4820;6;4819;25;;;4826;25;;;;;4823.0;0.0
2;3700;PEARLS;9998;6;9996;1;9995;24;10004;1;10005;24;;;10001.0;32.0
2;3700;COCONUTS;7919;207;;;;;7922;207;;;;;7920.5;1352.0
2;3700;PINA_COLADAS;14836;30;14835;67;;;14838;30;14839;67;;;14837.0;-4311.75
2;3800;PINA_COLADAS;14837;80;;;;;14838;33;14840;80;;;14837.5;-4020.5
2;3800;BANANAS;4819;30;;;;;4826;30;;;;;4822.5;0.0
2;3800;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;32.0
2;3800;COCONUTS;7920;161;;;;;7923;161;;;;;7921.5;820.5
2;3900;BANANAS;4819;28;;;;;4825;2;4826;26;;;4822.0;0.0
2;3900;PEARLS;10002;4;9996;2;9995;26;10004;2;10005;26;;;10003.0;32.0
2;3900;COCONUTS;7921;197;;;;;7924;197;;;;;7922.5;325.0
2;3900;PINA_COLADAS;14839;22;14838;54;;;14841;22;14842;54;;;14840.0;-3630.0
2;4000;BANANAS;4819;32;;;;;4825;2;4826;30;;;4822.0;0.0
2;4000;PEARLS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;40.0
2;4000;COCONUTS;7920;73;7919;165;;;7922;165;;;;;7921.0;1256.5
2;4000;PINA_COLADAS;14833;88;;;;;14836;88;;;;;14834.5;-4960.0
2;4100;BANANAS;4820;26;;;;;4824;4;4826;26;;;4822.0;0.0
2;4100;PEARLS;9996;1;9995;25;;;10002;4;10004;1;10005;25;9999.0;40.0
2;4100;COCONUTS;7919;181;;;;;7922;181;;;;;7920.5;1352.5
2;4100;PINA_COLADAS;14834;77;;;;;14837;77;;;;;14835.5;-4669.25
2;4200;PINA_COLADAS;14837;87;;;;;14840;87;;;;;14838.5;-3972.0
2;4200;BANANAS;4819;28;;;;;4826;28;;;;;4822.5;0.0
2;4200;PEARLS;9996;2;9995;26;;;9998;5;10004;2;10005;26;9997.0;40.0
2;4200;COCONUTS;7919;180;;;;;7922;180;;;;;7920.5;1320.0
2;4300;BANANAS;4819;25;;;;;4826;25;;;;;4822.5;0.0
2;4300;PEARLS;9996;1;9995;24;;;10000;5;10004;1;10005;24;9998.0;50.0
2;4300;COCONUTS;7919;175;;;;;7922;175;;;;;7920.5;1298.0
2;4300;PINA_COLADAS;14840;33;14839;59;;;14843;92;;;;;14841.5;-3337.75
2;4400;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;50.0
2;4400;BANANAS;4819;22;;;;;4826;22;;;;;4822.5;0.0
2;4400;COCONUTS;7920;194;;;;;7923;194;;;;;7921.5;642.5
2;4400;PINA_COLADAS;14838;83;;;;;14841;83;;;;;14839.5;-3687.25
2;4500;PINA_COLADAS;14842;29;14841;59;;;14844;29;14845;59;;;14843.0;-2872.75
2;4500;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;50.0
2;4500;BANANAS;4819;26;;;;;4826;26;;;;;4822.5;0.0
2;4500;COCONUTS;7921;146;;;;;7924;146;;;;;7922.5;72.0
2;4600;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;50.0
2;4600;BANANAS;4825;1;4819;22;;;4826;22;;;;;4825.5;0.0
2;4600;COCONUTS;7922;184;;;;;7925;184;;;;;7923.5;-390.5
2;4600;PINA_COLADAS;14841;101;;;;;14844;39;14845;62;;;14842.5;-2909.0
2;4700;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;50.0
2;4700;BANANAS;4818;27;;;;;4825;27;;;;;4821.5;0.0
2;4700;COCONUTS;7923;203;;;;;7926;203;;;;;7924.5;-862.0
2;4700;PINA_COLADAS;14844;33;14843;68;;;14846;33;14847;68;;;14845.0;-2412.75
2;4800;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;50.0
2;4800;BANANAS;4818;29;;;;;4824;1;4825;28;;;4821.0;0.0
2;4800;COCONUTS;7922;189;;;;;7925;189;;;;;7923.5;-452.0
2;4800;PINA_COLADAS;14841;106;;;;;14844;106;;;;;14842.5;-3071.75
2;4900;PINA_COLADAS;14842;76;;;;;14845;76;;;;;14843.5;-2781.5
2;4900;PEARLS;9998;7;9996;2;9995;27;10004;2;10005;27;;;10001.0;50.0
2;4900;BANANAS;4819;7;4818;29;;;4824;2;4825;27;;;4821.5;0.0
2;4900;COCONUTS;7923;180;;;;;7926;180;;;;;7924.5;-1183.0
2;5000;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;50.0
2;5000;BANANAS;4818;2;4817;29;;;4820;3;4824;31;;;4819.0;0.0
2;5000;COCONUTS;7923;188;;;;;7926;188;;;;;7924.5;-1056.5
2;5000;PINA_COLADAS;14841;22;14840;73;;;14843;22;14844;73;;;14842.0;-3108.5
2;5100;PEARLS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;50.0
2;5100;BANANAS;4817;25;;;;;4824;25;;;;;4820.5;0.0
2;5100;COCONUTS;7922;193;;;;;7924;73;7925;120;;;7923.0;-157.5
2;5100;PINA_COLADAS;14840;32;14839;60;;;14842;32;14843;60;;;14841.0;-3365.5
2;5200;PEARLS;9998;6;9996;1;9995;29;10004;1;10005;29;;;10001.0;50.0
2;5200;COCONUTS;7922;154;;;;;7925;154;;;;;7923.5;-325.5
2;5200;PINA_COLADAS;14838;97;;;;;14841;97;;;;;14839.5;-3744.75
2;5200;BANANAS;4818;7;4817;29;;;4824;30;;;;;4821.0;0.0
2;5300;PINA_COLADAS;14840;96;;;;;14843;96;;;;;14841.5;-3271.0
2;5300;BANANAS;4822;1;4817;22;;;4824;22;;;;;4823.0;0.0
2;5300;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;50.0
2;5300;COCONUTS;7922;137;;;;;7923;22;7925;183;;;7922.5;-653.5
2;5400;BANANAS;4818;11;4817;20;;;4824;22;;;;;4821.0;0.0
2;5400;PEARLS;9998;9;9996;2;9995;20;10004;2;10005;20;;;10001.0;50.0
2;5400;COCONUTS;7922;154;;;;;7925;154;;;;;7923.5;-548.5
2;5400;PINA_COLADAS;14840;92;;;;;14843;92;;;;;14841.5;-3179.75
2;5500;PEARLS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;50.0
2;5500;COCONUTS;7922;188;;;;;7925;188;;;;;7923.5;-429.0
2;5500;PINA_COLADAS;14839;22;14838;57;;;14841;22;14842;57;;;14840.0;-3591.0
2;5500;BANANAS;4820;6;4817;29;;;4823;1;4824;28;;;4821.5;0.0
2;5600;PEARLS;9995;21;;;;;10002;6;10005;21;;;9998.5;50.0
2;5600;COCONUTS;7923;170;;;;;7926;170;;;;;7924.5;-972.0
2;5600;PINA_COLADAS;14841;86;;;;;14844;86;;;;;14842.5;-3002.0
2;5600;BANANAS;4817;21;;;;;4822;6;4824;21;;;4819.5;0.0
2;5700;PINA_COLADAS;14838;24;14837;56;;;14840;24;14841;56;;;14839.0;-3838.25
2;5700;BANANAS;4816;30;;;;;4823;30;;;;;4819.5;0.0
2;5700;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;50.0
2;5700;COCONUTS;7921;172;;;;;7924;172;;;;;7922.5;163.0
2;5800;BANANAS;4817;2;4816;28;;;4818;1;4821;5;4823;30;4817.5;0.0
2;5800;PEARLS;9996;2;9995;28;;;10002;5;10004;2;10005;28;9999.0;50.0
2;5800;COCONUTS;7922;71;7921;150;;;7924;150;;;;;7923.0;131.0
2;5800;PINA_COLADAS;14838;97;;;;;14841;97;;;;;14839.5;-3720.75
2;5900;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;50.0
2;5900;COCONUTS;7921;188;;;;;7924;188;;;;;7922.5;217.0
2;5900;PINA_COLADAS;14839;77;;;;;14842;77;;;;;14840.5;-3486.5
2;5900;BANANAS;4817;31;;;;;4823;31;;;;;4820.0;0.0
2;6000;PEARLS;9998;7;9996;2;9995;30;10004;2;10005;30;;;10001.0;50.0
2;6000;COCONUTS;7922;161;;;;;7925;161;;;;;7923.5;-492.0
2;6000;PINA_COLADAS;14843;40;14842;63;;;14845;40;14846;63;;;14844.0;-2618.75
2;6000;BANANAS;4817;9;4816;30;;;4823;32;;;;;4820.0;0.0
2;6100;PINA_COLADAS;14839;23;14838;68;;;14841;23;14842;68;;;14840.0;-3622.75
2;6100;BANANAS;4816;29;;;;;4823;29;;;;;4819.5;0.0
2;6100;PEARLS;10002;11;9996;1;9995;28;10004;1;10005;28;;;10003.0;50.0
2;6100;COCONUTS;7921;171;;;;;7924;171;;;;;7922.5;85.0
2;6200;BANANAS;4817;1;4816;20;;;4823;21;;;;;4820.0;0.0
2;6200;PEARLS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;72.0
2;6200;COCONUTS;7921;222;;;;;7924;222;;;;;7922.5;177.0
2;6200;PINA_COLADAS;14836;96;;;;;14839;96;;;;;14837.5;-4200.5
2;6300;PEARLS;9995;22;;;;;10005;22;;;;;10000.0;72.0
2;6300;COCONUTS;7920;185;;;;;7922;52;7923;133;;;7921.0;1024.5
2;6300;PINA_COLADAS;14837;32;14836;56;;;14839;32;14840;56;;;14838.0;-4094.0
2;6300;BANANAS;4817;22;;;;;4818;5;4823;22;;;4817.5;0.0
2;6400;PEARLS;9996;2;9995;23;;;9998;1;10004;2;10005;23;9997.0;72.0
2;6400;COCONUTS;7918;190;;;;;7920;78;7921;112;;;7919.0;2211.5
2;6400;PINA_COLADAS;14833;88;;;;;14836;88;;;;;14834.5;-5010.25
2;6400;BANANAS;4817;25;;;;;4818;2;4823;2;4824;23;4817.5;0.0
2;6500;PINA_COLADAS;14833;102;;;;;14836;102;;;;;14834.5;-4888.0
2;6500;BANANAS;4817;2;4816;24;;;4819;2;4823;26;;;4818.0;0.0
2;6500;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;74.0
2;6500;COCONUTS;7918;41;7917;130;;;7920;171;;;;;7919.0;2347.5
2;6600;BANANAS;4817;6;4816;25;;;4823;25;;;;;4820.0;0.0
2;6600;PEARLS;9998;6;9995;25;;;10005;25;;;;;10001.5;74.0
2;6600;COCONUTS;7917;68;7916;141;;;7919;209;;;;;7918.0;2865.5
2;6600;PINA_COLADAS;14832;93;;;;;14835;93;;;;;14833.5;-5141.5
2;6700;COCONUTS;7916;186;;;;;7918;77;7919;109;;;7917.0;3417.0
2;6700;PINA_COLADAS;14829;79;;;;;14832;79;;;;;14830.5;-5947.75
2;6700;PEARLS;9996;1;9995;29;;;9998;5;10004;1;10005;29;9997.0;74.0
2;6700;BANANAS;4816;30;;;;;4819;4;4823;30;;;4817.5;0.0
2;6800;COCONUTS;7917;193;;;;;7919;193;;;;;7918.0;2828.5
2;6800;PINA_COLADAS;14831;91;;;;;14834;91;;;;;14832.5;-5486.0
2;6800;PEARLS;9996;1;9995;30;;;10002;1;10004;1;10005;30;9999.0;84.0
2;6800;BANANAS;4816;31;;;;;4821;1;4823;31;;;4818.5;0.0
2;6900;PINA_COLADAS;14827;37;14826;52;;;14829;37;14830;52;;;14828.0;-6517.75
2;6900;PEARLS;9996;2;9995;22;;;10002;2;10004;2;10005;22;9999.0;84.0
2;6900;BANANAS;4816;24;;;;;4821;2;4822;2;4823;22;4818.5;0.0
2;6900;COCONUTS;7915;148;;;;;7917;43;7918;105;;;7916.0;3915.0
2;7000;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;84.0
2;7000;BANANAS;4816;1;4815;22;;;4822;23;;;;;4819.0;0.0
2;7000;COCONUTS;7914;196;;;;;7917;196;;;;;7915.5;4273.0
2;7000;PINA_COLADAS;14825;40;14824;58;;;14827;40;14828;58;;;14826.0;-7005.75
2;7100;COCONUTS;7914;25;7913;124;;;7916;189;;;;;7915.0;4717.0
2;7100;PINA_COLADAS;14822;31;14821;67;;;14824;31;14825;67;;;14823.0;-7731.5
2;7100;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;84.0
2;7100;BANANAS;4816;27;;;;;4819;4;4823;27;;;4817.5;0.0
2;7200;COCONUTS;7914;198;;;;;7917;198;;;;;7915.5;4434.0
2;7200;PINA_COLADAS;14822;109;;;;;14825;109;;;;;14823.5;-7637.75
2;7200;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;84.0
2;7200;BANANAS;4815;20;;;;;4822;20;;;;;4818.5;0.0
2;7300;PINA_COLADAS;14823;94;;;;;14826;94;;;;;14824.5;-7415.0
2;7300;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;84.0
2;7300;BANANAS;4815;1;4814;21;;;4821;22;;;;;4818.0;-53.640625
2;7300;COCONUTS;7914;182;;;;;7917;182;;;;;7915.5;4464.5
2;7400;BANANAS;4815;27;;;;;4821;2;4822;26;;;4818.0;-62.984375
2;7400;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;84.0
2;7400;COCONUTS;7914;185;;;;;7916;71;7917;114;;;7915.0;4546.0
2;7400;PINA_COLADAS;14822;106;;;;;14825;39;14826;67;;;14823.5;-7520.25
2;7500;COCONUTS;7915;169;;;;;7918;169;;;;;7916.5;3786.5
2;7500;PINA_COLADAS;14826;100;;;;;14829;100;;;;;14827.5;-6619.75
2;7500;BANANAS;4814;21;;;;;4821;21;;;;;4817.5;-55.71875
2;7500;PEARLS;9995;21;;;;;10005;21;;;;;10000.0;84.0
2;7600;COCONUTS;7915;208;;;;;7916;76;7917;59;7918;149;7915.5;3927.0
2;7600;PINA_COLADAS;14824;97;;;;;14827;97;;;;;14825.5;-7156.0
2;7600;BANANAS;4815;2;4814;31;;;4821;31;;;;;4818.0;-48.78125
2;7600;PEARLS;9998;2;9996;1;9995;30;10004;1;10005;30;;;10001.0;84.0
2;7700;PINA_COLADAS;14825;107;;;;;14828;107;;;;;14826.5;-6819.25
2;7700;BANANAS;4814;25;;;;;4819;3;4821;25;;;4816.5;-44.890625
2;7700;PEARLS;9995;25;;;;;9998;1;10002;3;10005;25;9996.5;84.0
2;7700;COCONUTS;7915;178;;;;;7918;178;;;;;7916.5;3855.0
2;7800;BANANAS;4816;1;4814;22;;;4818;2;4820;22;;;4817.0;-37.9296875
2;7800;PEARLS;9995;22;;;;;10002;1;10005;22;;;9998.5;86.0
2;7800;COCONUTS;7914;176;;;;;7917;176;;;;;7915.5;4340.0
2;7800;PINA_COLADAS;14825;86;;;;;14828;86;;;;;14826.5;-6886.75
2;7900;PINA_COLADAS;14827;89;;;;;14830;89;;;;;14828.5;-6321.5
2;7900;BANANAS;4813;24;;;;;4820;24;;;;;4816.5;-31.140625
2;7900;PEARLS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;86.0
2;7900;COCONUTS;7915;166;;;;;7918;166;;;;;7916.5;3636.0
2;8000;PINA_COLADAS;14826;97;;;;;14829;97;;;;;14827.5;-6559.0
2;8000;BANANAS;4813;22;;;;;4817;8;4819;22;;;4815.0;-21.203125
